2009-12	American (Traditional)	1
2009-12	Breakfast & Brunch	1
2009-12	Diners	1
2009-12	Indian	1
2009-12	Restaurants	2
2010-01	Accessories	6
2010-01	Active Life	44
2010-01	Adult Education	2
2010-01	Adult Entertainment	2
2010-01	Airlines	4
2010-01	Airports	27
2010-01	Allergists	1
2010-01	Amateur Sports Teams	3
2010-01	American (New)	245
2010-01	American (Traditional)	232
2010-01	Amusement Parks	7
2010-01	Apartments	2
2010-01	Appliances	13
2010-01	Appliances & Repair	3
2010-01	Arcades	6
2010-01	Architects	1
2010-01	Argentine	1
2010-01	Art Classes	2
2010-01	Art Galleries	14
2010-01	Art Museums	3
2010-01	Art Schools	7
2010-01	Art Supplies	4
2010-01	Arts & Crafts	8
2010-01	Arts & Entertainment	126
2010-01	Asian Fusion	32
2010-01	Auto Detailing	1
2010-01	Auto Parts & Supplies	5
2010-01	Auto Repair	6
2010-01	Automotive	23
2010-01	Bagels	25
2010-01	Bakeries	59
2010-01	Banks & Credit Unions	2
2010-01	Barbeque	35
2010-01	Barbers	6
2010-01	Bars	418
2010-01	Bartenders	2
2010-01	Basque	4
2010-01	Beaches	1
2010-01	Beauty & Spas	27
2010-01	Bed & Breakfast	2
2010-01	Beer	93
2010-01	Beer Bar	9
2010-01	Beer Gardens	2
2010-01	Beer Tours	1
2010-01	Belgian	8
2010-01	Beverage Store	1
2010-01	Bike Repair/Maintenance	1
2010-01	Bikes	1
2010-01	Bistros	1
2010-01	Blow Dry/Out Services	1
2010-01	Boating	2
2010-01	Body Shops	1
2010-01	Books	21
2010-01	Bookstores	7
2010-01	Bowling	7
2010-01	Boxing	2
2010-01	Brasseries	2
2010-01	Brazilian	2
2010-01	Breakfast & Brunch	185
2010-01	Breweries	25
2010-01	Brewpubs	6
2010-01	British	6
2010-01	Buddhist Temples	1
2010-01	Buffets	6
2010-01	Building Supplies	2
2010-01	Burgers	107
2010-01	Butcher	4
2010-01	Cafes	65
2010-01	Cajun/Creole	37
2010-01	Candy Stores	10
2010-01	Car Buyers	4
2010-01	Car Dealers	5
2010-01	Car Rental	4
2010-01	Car Stereo Installation	1
2010-01	Car Wash	3
2010-01	Cards & Stationery	1
2010-01	Caribbean	3
2010-01	Casinos	5
2010-01	Caterers	42
2010-01	Cheese Shops	9
2010-01	Cheesesteaks	4
2010-01	Chicken Shop	1
2010-01	Chicken Wings	15
2010-01	Child Care & Day Care	4
2010-01	Children's Clothing	1
2010-01	Children's Museums	2
2010-01	Chinese	55
2010-01	Chocolatiers & Shops	12
2010-01	Churches	2
2010-01	Cinema	23
2010-01	Climbing	3
2010-01	Clothing Rental	1
2010-01	Cocktail Bars	56
2010-01	Coffee & Tea	202
2010-01	Coffee Roasteries	15
2010-01	Colleges & Universities	22
2010-01	Comedy Clubs	14
2010-01	Comfort Food	12
2010-01	Comic Books	2
2010-01	Community Centers	2
2010-01	Community Service/Non-Profit	4
2010-01	Computers	16
2010-01	Convenience Stores	13
2010-01	Cooking Schools	5
2010-01	Cosmetic Dentists	1
2010-01	Cosmetics & Beauty Supply	3
2010-01	Creperies	5
2010-01	Cuban	7
2010-01	Cupcakes	3
2010-01	Custom Cakes	1
2010-01	Cycling Classes	1
2010-01	Dance Clubs	16
2010-01	Day Spas	11
2010-01	Delis	46
2010-01	Dentists	1
2010-01	Department Stores	37
2010-01	Desserts	64
2010-01	Diagnostic Imaging	1
2010-01	Diagnostic Services	1
2010-01	Dietitians	1
2010-01	Dim Sum	10
2010-01	Diners	43
2010-01	Dinner Theater	4
2010-01	Disc Golf	1
2010-01	Discount Store	2
2010-01	Distilleries	2
2010-01	Dive Bars	38
2010-01	Do-It-Yourself Food	1
2010-01	Doctors	6
2010-01	Donuts	12
2010-01	Drugstores	21
2010-01	Dry Cleaning & Laundry	4
2010-01	Eatertainment	2
2010-01	Education	33
2010-01	Electronics	24
2010-01	Elementary Schools	1
2010-01	Emergency Rooms	1
2010-01	Employment Agencies	3
2010-01	Ethiopian	3
2010-01	Ethnic Food	31
2010-01	Event Planning & Services	144
2010-01	Eyewear & Opticians	1
2010-01	Fabric Stores	2
2010-01	Farmers Market	14
2010-01	Farms	2
2010-01	Fashion	51
2010-01	Fast Food	40
2010-01	Festivals	1
2010-01	Financial Advising	1
2010-01	Financial Services	3
2010-01	Fish & Chips	7
2010-01	Fishing	1
2010-01	Fitness & Instruction	21
2010-01	Fitness/Exercise Equipment	1
2010-01	Florists	13
2010-01	Flowers & Gifts	20
2010-01	Fondue	3
2010-01	Food	544
2010-01	Food Court	4
2010-01	Food Delivery Services	9
2010-01	Food Stands	4
2010-01	Food Tours	1
2010-01	Food Trucks	7
2010-01	Formal Wear	1
2010-01	French	23
2010-01	Fruits & Veggies	25
2010-01	Funeral Services & Cemeteries	2
2010-01	Furniture Stores	12
2010-01	Gas Stations	5
2010-01	Gastropubs	31
2010-01	Gay Bars	3
2010-01	Gelato	4
2010-01	General Dentistry	1
2010-01	German	4
2010-01	Gift Shops	3
2010-01	Gluten-Free	20
2010-01	Golf	3
2010-01	Greek	29
2010-01	Grocery	103
2010-01	Guest Houses	1
2010-01	Guitar Stores	2
2010-01	Gymnastics	1
2010-01	Gyms	19
2010-01	Hair Removal	1
2010-01	Hair Salons	8
2010-01	Hair Stylists	1
2010-01	Hardware Stores	3
